t,d,gdt
1,1,2100000
1,2,2410000
1,3,2720000
2,1,2100000
2,2,2410000
2,3,2720000
3,1,2100000
3,2,2410000
3,3,2720000
4,1,2100000
4,2,2410000
4,3,2720000
5,1,2100000
5,2,2410000
5,3,2720000
6,1,2100000
6,2,2410000
6,3,2720000
7,1,2100000
7,2,2410000
7,3,2720000
8,1,2100000
8,2,2410000
8,3,2720000
9,1,2100000
9,2,2410000
9,3,2720000
10,1,2100000
10,2,2410000
10,3,2720000
11,1,2100000
11,2,2410000
11,3,2720000
12,1,2100000
12,2,2410000
12,3,2720000
13,1,2100000
13,2,2410000
13,3,2720000
14,1,2100000
14,2,2410000
14,3,2720000
15,1,2100000
15,2,2410000
15,3,2720000
16,1,2100000
16,2,2410000
16,3,2720000
17,1,2100000
17,2,2410000
17,3,2720000
18,1,2100000
18,2,2410000
18,3,2720000
19,1,2100000
19,2,2410000
19,3,2720000
20,1,2100000
20,2,2410000
20,3,2720000
21,1,2100000
21,2,2410000
21,3,2720000
22,1,2100000
22,2,2410000
22,3,2720000
23,1,2100000
23,2,2410000
23,3,2720000
24,1,2100000
24,2,2410000
24,3,2720000
25,1,2100000
25,2,2410000
25,3,2720000
26,1,2100000
26,2,2410000
26,3,2720000
27,1,2100000
27,2,2410000
27,3,2720000
28,1,2100000
28,2,2410000
28,3,2720000
29,1,2100000
29,2,2410000
29,3,2720000
30,1,2100000
30,2,2410000
30,3,2720000
31,1,2100000
31,2,2410000
31,3,2720000
32,1,2100000
32,2,2410000
32,3,2720000
33,1,2100000
33,2,2410000
33,3,2720000
34,1,2100000
34,2,2410000
34,3,2720000
35,1,2100000
35,2,2410000
35,3,2720000
36,1,2100000
36,2,2410000
36,3,2720000
37,1,2100000
37,2,2410000
37,3,2720000
38,1,2100000
38,2,2410000
38,3,2720000
39,1,2100000
39,2,2410000
39,3,2720000
40,1,2100000
40,2,2410000
40,3,2720000
41,1,2100000
41,2,2410000
41,3,2720000
42,1,2100000
42,2,2410000
42,3,2720000
43,1,2100000
43,2,2410000
43,3,2720000
44,1,2100000
44,2,2410000
44,3,2720000
45,1,2100000
45,2,2410000
45,3,2720000
46,1,2100000
46,2,2410000
46,3,2720000
47,1,2100000
47,2,2410000
47,3,2720000
48,1,2100000
48,2,2410000
48,3,2720000
49,1,2100000
49,2,2410000
49,3,2720000
50,1,2100000
50,2,2410000
50,3,2720000
51,1,2100000
51,2,2410000
51,3,2720000
52,1,2100000
52,2,2410000
52,3,2720000
53,1,2100000
53,2,2410000
53,3,2720000
54,1,2100000
54,2,2410000
54,3,2720000
55,1,2100000
55,2,2410000
55,3,2720000
56,1,2100000
56,2,2410000
56,3,2720000
57,1,2100000
57,2,2410000
57,3,2720000
58,1,2100000
58,2,2410000
58,3,2720000
59,1,2100000
59,2,2410000
59,3,2720000
60,1,1700000
60,2,2010000
60,3,2320000
61,1,1700000
61,2,2010000
61,3,2320000
62,1,1700000
62,2,2010000
62,3,2320000
63,1,1700000
63,2,2010000
63,3,2320000
64,1,1700000
64,2,2010000
64,3,2320000
65,1,1700000
65,2,2010000
65,3,2320000
66,1,1700000
66,2,2010000
66,3,2320000
67,1,1700000
67,2,2010000
67,3,2320000
68,1,1700000
68,2,2010000
68,3,2320000
69,1,1700000
69,2,2010000
69,3,2320000
70,1,1700000
70,2,2010000
70,3,2320000
71,1,1700000
71,2,2010000
71,3,2320000
72,1,1700000
72,2,2010000
72,3,2320000
73,1,1700000
73,2,2010000
73,3,2320000
74,1,1700000
74,2,2010000
74,3,2320000
75,1,1700000
75,2,2010000
75,3,2320000
76,1,1700000
76,2,2010000
76,3,2320000
77,1,1700000
77,2,2010000
77,3,2320000
78,1,1700000
78,2,2010000
78,3,2320000
79,1,1700000
79,2,2010000
79,3,2320000
80,1,1700000
80,2,2010000
80,3,2320000
81,1,1700000
81,2,2010000
81,3,2320000
82,1,1700000
82,2,2010000
82,3,2320000
83,1,1700000
83,2,2010000
83,3,2320000
84,1,1700000
84,2,2010000
84,3,2320000
85,1,1700000
85,2,2010000
85,3,2320000
86,1,1700000
86,2,2010000
86,3,2320000
87,1,1700000
87,2,2010000
87,3,2320000
88,1,1700000
88,2,2010000
88,3,2320000
89,1,1700000
89,2,2010000
89,3,2320000
90,1,1700000
90,2,2010000
90,3,2320000
91,1,1700000
91,2,2010000
91,3,2320000
92,1,1700000
92,2,2010000
92,3,2320000
93,1,1700000
93,2,2010000
93,3,2320000
94,1,1700000
94,2,2010000
94,3,2320000
95,1,1700000
95,2,2010000
95,3,2320000
96,1,1700000
96,2,2010000
96,3,2320000
97,1,1700000
97,2,2010000
97,3,2320000
98,1,1700000
98,2,2010000
98,3,2320000
99,1,1700000
99,2,2010000
99,3,2320000
100,1,1700000
100,2,2010000
100,3,2320000
101,1,1700000
101,2,2010000
101,3,2320000
102,1,1700000
102,2,2010000
102,3,2320000
103,1,1700000
103,2,2010000
103,3,2320000
104,1,1700000
104,2,2010000
104,3,2320000
105,1,1700000
105,2,2010000
105,3,2320000
106,1,1700000
106,2,2010000
106,3,2320000
107,1,1700000
107,2,2010000
107,3,2320000
108,1,1700000
108,2,2010000
108,3,2320000
109,1,1700000
109,2,2010000
109,3,2320000
110,1,1700000
110,2,2010000
110,3,2320000
111,1,1700000
111,2,2010000
111,3,2320000
112,1,1700000
112,2,2010000
112,3,2320000
113,1,1700000
113,2,2010000
113,3,2320000
114,1,1700000
114,2,2010000
114,3,2320000
115,1,1700000
115,2,2010000
115,3,2320000
116,1,1700000
116,2,2010000
116,3,2320000
117,1,1700000
117,2,2010000
117,3,2320000
118,1,1700000
118,2,2010000
118,3,2320000
119,1,1700000
119,2,2010000
119,3,2320000
120,1,1700000
120,2,2010000
120,3,2320000
121,1,1700000
121,2,2010000
121,3,2320000
122,1,1700000
122,2,2010000
122,3,2320000
123,1,1700000
123,2,2010000
123,3,2320000
124,1,1700000
124,2,2010000
124,3,2320000
125,1,1700000
125,2,2010000
125,3,2320000
126,1,1700000
126,2,2010000
126,3,2320000
127,1,1700000
127,2,2010000
127,3,2320000
128,1,1700000
128,2,2010000
128,3,2320000
129,1,1700000
129,2,2010000
129,3,2320000
130,1,1700000
130,2,2010000
130,3,2320000
131,1,1700000
131,2,2010000
131,3,2320000
